Date,Value,ChangePercentMonth,ChangePercentYear
1994-01,88.81,0.0009,0.0482
1994-02,88.89,0.0009,0.0482
1994-03,89.52,0.0071,0.0482
1994-04,90.3,0.0087,0.0482
1994-05,90.27,-0.0003,0.0482
1994-06,90.41,0.0016,0.0482
1994-07,89.21,-0.0133,0.0482
1994-08,89.18,-0.0003,0.0482
1994-09,88.42,-0.0085,0.0482
1994-10,87.92,-0.0057,0.0482
1994-11,88.31,0.0044,0.0482
1994-12,90.56,0.0255,0.0482
1995-01,93.09,0.0279,0.0482
1995-02,92.57,-0.0056,0.0414
1995-03,91.67,-0.0097,0.024
1995-04,88.82,-0.0311,-0.0164
1995-05,88.78,-0.0005,-0.0165
1995-06,89.05,0.003,-0.015
1995-07,89.15,0.0011,-0.0007
1995-08,91.48,0.0261,0.0258
1995-09,93.02,0.0168,0.052
1995-10,92.92,-0.0011,0.0569
1995-11,94.35,0.0154,0.0684
1995-12,94.99,0.0068,0.0489
1996-01,95.62,0.0066,0.0272
1996-02,95.89,0.0028,0.0359
1996-03,95.97,0.0008,0.0469
1996-04,96.22,0.0026,0.0833
1996-05,96.61,0.0041,0.0882
1996-06,97.07,0.0048,0.0901
1996-07,97.03,-0.0004,0.0884
1996-08,96.57,-0.0047,0.0556
1996-09,97.11,0.0056,0.044
1996-10,97.67,0.0058,0.0511
1996-11,97.31,-0.0037,0.0314
1996-12,98.38,0.011,0.0357
1997-01,99.43,0.0107,0.0398
1997-02,101.33,0.0191,0.0567
1997-03,102.21,0.0087,0.065
1997-04,102.99,0.0076,0.0704
1997-05,101.82,-0.0114,0.0539
1997-06,101.6,-0.0022,0.0467
1997-07,102.6,0.0098,0.0574
1997-08,104.5,0.0185,0.0821
1997-09,104.95,0.0043,0.0807
1997-10,105.39,0.0042,0.079
1997-11,107.27,0.0178,0.1024
1997-12,111.1,0.0357,0.1293
1998-01,114.35,0.0293,0.1501
1998-02,113.0,-0.0118,0.1152
1998-03,112.73,-0.0024,0.1029
1998-04,112.71,-0.0002,0.0944
1998-05,113.6,0.0079,0.1157
1998-06,116.14,0.0224,0.1431
1998-07,116.5,0.0031,0.1355
1998-08,118.63,0.0183,0.1352
1998-09,117.26,-0.0115,0.1173
1998-10,113.98,-0.028,0.0815
1998-11,113.92,-0.0005,0.062
1998-12,113.11,-0.0071,0.0181
1999-01,113.38,0.0024,-0.0085
1999-02,114.83,0.0128,0.0162
1999-03,116.17,0.0117,0.0305
1999-04,115.46,-0.0061,0.0244
1999-05,115.27,-0.0016,0.0147
1999-06,115.95,0.0059,-0.0016
1999-07,116.02,0.0006,-0.0041
1999-08,114.84,-0.0102,-0.0319
1999-09,114.13,-0.0062,-0.0267
1999-10,113.73,-0.0035,-0.0022
1999-11,113.94,0.0018,0.0002
1999-12,114.07,0.0011,0.0085
2000-01,113.88,-0.0017,0.0044
2000-02,115.4,0.0133,0.005
2000-03,115.35,-0.0004,-0.0071
2000-04,115.96,0.0053,0.0043
2000-05,118.75,0.0241,0.0302
2000-06,117.53,-0.0103,0.0136
2000-07,117.62,0.0008,0.0138
2000-08,118.51,0.0076,0.032
2000-09,119.79,0.0108,0.0496
2000-10,121.65,0.0155,0.0696
2000-11,122.55,0.0074,0.0756
2000-12,121.62,-0.0076,0.0662
2001-01,121.52,-0.0008,0.0671
2001-02,122.14,0.0051,0.0584
2001-03,124.22,0.017,0.0769
2001-04,125.29,0.0086,0.0805
2001-05,124.95,-0.0027,0.0522
2001-06,125.7,0.006,0.0695
2001-07,126.19,0.0039,0.0729
2001-08,124.22,-0.0156,0.0482
2001-09,124.59,0.003,0.0401
2001-10,125.43,0.0067,0.0311
2001-11,126.0,0.0045,0.0282
2001-12,126.12,0.001,0.037
2002-01,127.55,0.0113,0.0496
2002-02,128.26,0.0056,0.0501
2002-03,127.51,-0.0058,0.0265
2002-04,127.07,-0.0035,0.0142
2002-05,125.46,-0.0127,0.0041
2002-06,124.02,-0.0115,-0.0134
2002-07,122.26,-0.0142,-0.0311
2002-08,123.58,0.0108,-0.0052
2002-09,124.36,0.0063,-0.0018
2002-10,125.31,0.0076,-0.001
2002-11,124.02,-0.0103,-0.0157
2002-12,123.43,-0.0048,-0.0213
2003-01,121.83,-0.013,-0.0448
2003-02,121.75,-0.0007,-0.0508
2003-03,121.24,-0.0042,-0.0492
2003-04,120.37,-0.0072,-0.0527
2003-05,116.13,-0.0352,-0.0744
2003-06,115.78,-0.003,-0.0664
2003-07,116.82,0.009,-0.0445
2003-08,118.28,0.0125,-0.0429
2003-09,117.08,-0.0101,-0.0585
2003-10,114.71,-0.0202,-0.0846
2003-11,114.51,-0.0017,-0.0767
2003-12,112.96,-0.0135,-0.0848
2004-01,111.11,-0.0164,-0.088
2004-02,111.52,0.0037,-0.084
2004-03,112.67,0.0103,-0.0707
2004-04,113.55,0.0078,-0.0567
2004-05,115.35,0.0159,-0.0067
2004-06,114.26,-0.0094,-0.0131
2004-07,113.41,-0.0074,-0.0292
2004-08,113.69,0.0025,-0.0388
2004-09,113.2,-0.0043,-0.0331
2004-10,111.6,-0.0141,-0.0271
2004-11,108.57,-0.0272,-0.0519
2004-12,107.26,-0.0121,-0.0505
2005-01,107.89,0.0059,-0.029
2005-02,108.07,0.0017,-0.0309
2005-03,107.4,-0.0062,-0.0468
2005-04,108.44,0.0097,-0.045
2005-05,108.92,0.0044,-0.0557
2005-06,110.03,0.0102,-0.037
2005-07,110.47,0.004,-0.0259
2005-08,109.01,-0.0132,-0.0412
2005-09,108.87,-0.0013,-0.0383
2005-10,110.07,0.011,-0.0137
2005-11,110.87,0.0073,0.0212
2005-12,110.16,-0.0064,0.027
2006-01,108.68,-0.0134,0.0073
2006-02,108.87,0.0017,0.0074
2006-03,109.08,0.0019,0.0156
2006-04,108.34,-0.0068,-0.0009
2006-05,106.11,-0.0206,-0.0258
2006-06,107.5,0.0131,-0.023
2006-07,107.15,-0.0033,-0.0301
2006-08,106.45,-0.0065,-0.0235
2006-09,106.72,0.0025,-0.0197
2006-10,107.11,0.0037,-0.0269
2006-11,106.13,-0.0091,-0.0428
2006-12,105.2,-0.0088,-0.045
2007-01,106.3,0.0105,-0.0219
2007-02,105.97,-0.0031,-0.0266
2007-03,105.41,-0.0053,-0.0336
2007-04,104.02,-0.0132,-0.0399
2007-05,103.19,-0.008,-0.0275
2007-06,102.99,-0.0019,-0.042
2007-07,101.65,-0.013,-0.0513
2007-08,102.17,0.0051,-0.0402
2007-09,100.77,-0.0137,-0.0558
2007-10,98.71,-0.0204,-0.0784
