Date,Value,ChangePercentMonth,ChangePercentYear
1983-03,29.27,0.0465,0.054
1983-04,30.63,0.0465,0.054
1983-05,30.25,-0.0124,0.054
1983-06,31.38,0.0374,0.054
1983-07,32.0,0.0198,0.054
1983-08,31.59,-0.0128,0.054
1983-09,30.36,-0.0389,0.054
1983-10,30.37,0.0003,0.054
1983-11,29.23,-0.0375,0.054
1983-12,29.6,0.0127,0.054
1984-01,29.98,0.0128,0.054
1984-02,30.55,0.019,0.054
1984-03,30.85,0.0098,0.054
1984-04,30.26,-0.0191,-0.0121
1984-05,30.83,0.0188,0.0192
1984-06,29.75,-0.035,-0.0519
1984-07,27.6,-0.0723,-0.1375
1984-08,29.23,0.0591,-0.0747
1984-09,29.66,0.0147,-0.0231
1984-10,28.46,-0.0405,-0.0629
1984-11,27.31,-0.0404,-0.0657
1984-12,26.41,-0.033,-0.1078
1985-01,26.41,0.0,-0.1191
1985-02,26.73,0.0121,-0.125
1985-03,28.29,0.0584,-0.083
1985-04,27.63,-0.0233,-0.0869
1985-05,27.84,0.0076,-0.097
1985-06,26.87,-0.0348,-0.0968
1985-07,27.12,0.0093,-0.0174
1985-08,28.08,0.0354,-0.0393
1985-09,29.08,0.0356,-0.0196
1985-10,30.38,0.0447,0.0675
1985-11,29.75,-0.0207,0.0893
1985-12,26.3,-0.116,-0.0042
1986-01,18.83,-0.284,-0.287
1986-02,13.26,-0.2958,-0.5039
1986-03,10.42,-0.2142,-0.6317
1986-04,13.34,0.2802,-0.5172
1986-05,14.3,0.072,-0.4864
1986-06,12.78,-0.1063,-0.5244
1986-07,11.15,-0.1275,-0.5889
1986-08,15.9,0.426,-0.4338
1986-09,14.77,-0.0711,-0.4921
1986-10,15.27,0.0339,-0.4974
1986-11,15.0,-0.0177,-0.4958
1986-12,17.94,0.196,-0.3179
1987-01,18.75,0.0452,-0.0042
1987-02,16.6,-0.1147,0.2519
1987-03,18.83,0.1343,0.8071
1987-04,18.73,-0.0053,0.404
1987-05,19.38,0.0347,0.3552
1987-06,20.29,0.047,0.5876
1987-07,21.37,0.0532,0.9166
1987-08,19.73,-0.0767,0.2409
1987-09,19.59,-0.0071,0.3263
1987-10,19.96,0.0189,0.3071
1987-11,18.51,-0.0726,0.234
1987-12,16.7,-0.0978,-0.0691
1988-01,16.94,0.0144,-0.0965
1988-02,16.01,-0.0549,-0.0355
1988-03,17.08,0.0668,-0.0929
1988-04,17.99,0.0533,-0.0395
1988-05,17.51,-0.0267,-0.0965
1988-06,15.16,-0.1342,-0.2528
1988-07,16.31,0.0759,-0.2368
1988-08,15.18,-0.0693,-0.2306
1988-09,13.37,-0.1192,-0.3175
1988-10,13.58,0.0157,-0.3196
1988-11,15.32,0.1281,-0.1723
1988-12,17.24,0.1253,0.0323
1989-01,17.03,-0.0122,0.0053
1989-02,18.15,0.0658,0.1337
1989-03,20.19,0.1124,0.1821
1989-04,20.42,0.0114,0.1351
1989-05,19.9,-0.0255,0.1365
