Date,Value,ChangePercentMonth,ChangePercentYear
1913-01,12.1,-0.0083,-0.0248
1913-02,12.0,-0.0083,-0.0248
1913-03,12.0,0.0,-0.0248
1913-04,12.0,0.0,-0.0248
1913-05,11.9,-0.0083,-0.0248
1913-06,11.9,0.0,-0.0248
1913-07,12.0,0.0084,-0.0248
1913-08,12.0,0.0,-0.0248
1913-09,12.2,0.0167,-0.0248
1913-10,12.2,0.0,-0.0248
1913-11,12.1,-0.0082,-0.0248
1913-12,11.9,-0.0165,-0.0248
1914-01,11.8,-0.0084,-0.0248
1914-02,11.8,0.0,-0.0167
1914-03,11.7,-0.0085,-0.025
1914-04,11.7,0.0,-0.025
1914-05,11.6,-0.0085,-0.0252
1914-06,11.6,0.0,-0.0252
1914-07,11.6,0.0,-0.0333
1914-08,12.0,0.0345,0.0
1914-09,12.1,0.0083,-0.0082
1914-10,11.7,-0.0331,-0.041
1914-11,11.7,0.0,-0.0331
1914-12,11.6,-0.0085,-0.0252
1915-01,11.8,0.0172,0.0
1915-02,11.8,0.0,0.0
1915-03,11.8,0.0,0.0085
1915-04,11.8,0.0,0.0085
1915-05,11.9,0.0085,0.0259
1915-06,11.8,-0.0084,0.0172
1915-07,11.9,0.0085,0.0259
1915-08,11.8,-0.0084,-0.0167
1915-09,11.8,0.0,-0.0248
1915-10,12.1,0.0254,0.0342
1915-11,12.3,0.0165,0.0513
1915-12,12.8,0.0407,0.1034
1916-01,13.3,0.0391,0.1271
1916-02,13.5,0.015,0.1441
1916-03,13.9,0.0296,0.178
1916-04,14.1,0.0144,0.1949
1916-05,14.2,0.0071,0.1933
1916-06,14.3,0.007,0.2119
1916-07,14.4,0.007,0.2101
1916-08,14.7,0.0208,0.2458
1916-09,15.0,0.0204,0.2712
1916-10,15.7,0.0467,0.2975
1916-11,16.8,0.0701,0.3659
1916-12,17.1,0.0179,0.3359
1917-01,17.6,0.0292,0.3233
1917-02,18.0,0.0227,0.3333
1917-03,18.5,0.0278,0.3309
1917-04,19.7,0.0649,0.3972
1917-05,20.8,0.0558,0.4648
1917-06,21.0,0.0096,0.4685
1917-07,21.2,0.0095,0.4722
1917-08,21.5,0.0142,0.4626
1917-09,21.3,-0.0093,0.42
1917-10,21.1,-0.0094,0.3439
1917-11,21.2,0.0047,0.2619
1917-12,21.2,0.0,0.2398
1918-01,21.6,0.0189,0.2273
1918-02,21.1,-0.0231,0.1722
1918-03,21.8,0.0332,0.1784
1918-04,22.1,0.0138,0.1218
1918-05,22.1,0.0,0.0625
1918-06,22.2,0.0045,0.0571
1918-07,22.7,0.0225,0.0708
1918-08,23.2,0.022,0.0791
1918-09,23.7,0.0216,0.1127
1918-10,23.5,-0.0084,0.1137
1918-11,23.5,0.0,0.1085
1918-12,23.5,0.0,0.1085
1919-01,23.2,-0.0128,0.0741
1919-02,22.4,-0.0345,0.0616
1919-03,22.6,0.0089,0.0367
1919-04,22.9,0.0133,0.0362
1919-05,23.3,0.0175,0.0543
1919-06,23.4,0.0043,0.0541
1919-07,24.3,0.0385,0.0705
1919-08,24.9,0.0247,0.0733
1919-09,24.3,-0.0241,0.0253
1919-10,24.4,0.0041,0.0383
1919-11,24.9,0.0205,0.0596
1919-12,26.0,0.0442,0.1064
1920-01,27.2,0.0462,0.1724
1920-02,27.1,-0.0037,0.2098
1920-03,27.3,0.0074,0.208
1920-04,28.5,0.044,0.2445
1920-05,28.8,0.0105,0.2361
1920-06,28.7,-0.0035,0.2265
1920-07,28.6,-0.0035,0.177
1920-08,27.8,-0.028,0.1165
1920-09,26.8,-0.036,0.1029
1920-10,24.9,-0.0709,0.0205
1920-11,23.0,-0.0763,-0.0763
1920-12,20.8,-0.0957,-0.2
1921-01,19.6,-0.0577,-0.2794
1921-02,18.1,-0.0765,-0.3321
1921-03,17.7,-0.0221,-0.3516
1921-04,17.0,-0.0395,-0.4035
1921-05,16.6,-0.0235,-0.4236
1921-06,16.1,-0.0301,-0.439
1921-07,16.1,0.0,-0.4371
1921-08,16.1,0.0,-0.4209
1921-09,16.1,0.0,-0.3993
1921-10,16.2,0.0062,-0.3494
