Date,Value,ChangePercentMonth,ChangePercentYear
1970-02,89.5,0.0015,0.081
1970-03,89.63,0.0015,0.081
1970-04,81.52,-0.0905,0.081
1970-05,76.55,-0.061,0.081
1970-06,72.72,-0.05,0.081
1970-07,78.05,0.0733,0.081
1970-08,81.52,0.0445,0.081
1970-09,84.3,0.0341,0.081
1970-10,83.25,-0.0125,0.081
1970-11,87.2,0.0474,0.081
1970-12,92.15,0.0568,0.081
1971-01,95.88,0.0405,0.081
1971-02,96.75,0.0091,0.081
1971-03,100.31,0.0368,0.1192
1971-04,103.95,0.0363,0.2751
1971-05,99.63,-0.0416,0.3015
1971-06,98.7,-0.0093,0.3573
1971-07,95.58,-0.0316,0.2246
1971-08,99.03,0.0361,0.2148
1971-09,98.34,-0.007,0.1665
1971-10,94.23,-0.0418,0.1319
1971-11,93.99,-0.0025,0.0779
1971-12,102.09,0.0862,0.1079
1972-01,103.94,0.0181,0.0841
1972-02,106.57,0.0253,0.1015
1972-03,107.2,0.0059,0.0687
1972-04,107.67,0.0044,0.0358
1972-05,109.53,0.0173,0.0994
1972-06,107.14,-0.0218,0.0855
1972-07,107.39,0.0023,0.1236
1972-08,111.09,0.0345,0.1218
1972-09,110.55,-0.0049,0.1242
1972-10,111.58,0.0093,0.1841
1972-11,116.67,0.0456,0.2413
1972-12,118.05,0.0118,0.1563
1973-01,116.03,-0.0171,0.1163
1973-02,111.68,-0.0375,0.0479
1973-03,111.52,-0.0014,0.0403
1973-04,106.97,-0.0408,-0.0065
1973-05,104.95,-0.0189,-0.0418
1973-06,104.26,-0.0066,-0.0269
1973-07,108.22,0.038,0.0077
1973-08,104.25,-0.0367,-0.0616
1973-09,108.43,0.0401,-0.0192
1973-10,108.29,-0.0013,-0.0295
1973-11,95.96,-0.1139,-0.1775
1973-12,97.55,0.0166,-0.1737
1974-01,96.57,-0.01,-0.1677
1974-02,96.22,-0.0036,-0.1384
1974-03,93.98,-0.0233,-0.1573
1974-04,90.31,-0.0391,-0.1557
1974-05,87.28,-0.0336,-0.1684
1974-06,86.0,-0.0147,-0.1751
1974-07,79.31,-0.0778,-0.2671
1974-08,72.15,-0.0903,-0.3079
1974-09,63.54,-0.1193,-0.414
1974-10,73.9,0.163,-0.3176
1974-11,69.97,-0.0532,-0.2708
1974-12,68.56,-0.0202,-0.2972
1975-01,76.98,0.1228,-0.2029
1975-02,81.59,0.0599,-0.152
1975-03,83.36,0.0217,-0.113
1975-04,87.3,0.0473,-0.0333
1975-05,91.15,0.0441,0.0443
1975-06,95.19,0.0443,0.1069
1975-07,88.75,-0.0677,0.119
1975-08,86.88,-0.0211,0.2042
1975-09,83.87,-0.0346,0.32
1975-10,89.04,0.0616,0.2049
1975-11,91.24,0.0247,0.304
1975-12,90.19,-0.0115,0.3155
1976-01,100.86,0.1183,0.3102
1976-02,99.71,-0.0114,0.2221
1976-03,102.77,0.0307,0.2328
1976-04,101.64,-0.011,0.1643
1976-05,100.18,-0.0144,0.0991
1976-06,104.28,0.0409,0.0955
1976-07,103.44,-0.0081,0.1655
1976-08,102.91,-0.0051,0.1845
1976-09,105.24,0.0226,0.2548
1976-10,102.9,-0.0222,0.1557
