Date,Value,ChangePercentMonth,ChangePercentYear
1948-01,4.0,0.175,0.25
1948-02,4.7,0.175,0.25
1948-03,4.5,-0.0426,0.25
1948-04,4.0,-0.1111,0.25
1948-05,3.4,-0.15,0.25
1948-06,3.9,0.1471,0.25
1948-07,3.9,0.0,0.25
1948-08,3.6,-0.0769,0.25
1948-09,3.4,-0.0556,0.25
1948-10,2.9,-0.1471,0.25
1948-11,3.3,0.1379,0.25
1948-12,3.6,0.0909,0.25
1949-01,5.0,0.3889,0.25
1949-02,5.8,0.16,0.234
1949-03,5.6,-0.0345,0.2444
1949-04,5.4,-0.0357,0.35
1949-05,5.7,0.0556,0.6765
1949-06,6.4,0.1228,0.641
1949-07,7.0,0.0938,0.7949
1949-08,6.3,-0.1,0.75
1949-09,5.9,-0.0635,0.7353
1949-10,6.1,0.0339,1.1034
1949-11,5.7,-0.0656,0.7273
1949-12,6.0,0.0526,0.6667
1950-01,7.6,0.2667,0.52
1950-02,7.9,0.0395,0.3621
1950-03,7.1,-0.1013,0.2679
1950-04,6.0,-0.1549,0.1111
1950-05,5.3,-0.1167,-0.0702
1950-06,5.6,0.0566,-0.125
1950-07,5.3,-0.0536,-0.2429
1950-08,4.1,-0.2264,-0.3492
1950-09,4.0,-0.0244,-0.322
1950-10,3.3,-0.175,-0.459
1950-11,3.8,0.1515,-0.3333
1950-12,3.9,0.0263,-0.35
1951-01,4.4,0.1282,-0.4211
1951-02,4.2,-0.0455,-0.4684
1951-03,3.8,-0.0952,-0.4648
1951-04,3.2,-0.1579,-0.4667
1951-05,2.9,-0.0938,-0.4528
1951-06,3.4,0.1724,-0.3929
1951-07,3.3,-0.0294,-0.3774
1951-08,2.9,-0.1212,-0.2927
1951-09,3.0,0.0345,-0.25
1951-10,2.8,-0.0667,-0.1515
1951-11,3.2,0.1429,-0.1579
1951-12,2.9,-0.0938,-0.2564
1952-01,3.7,0.2759,-0.1591
1952-02,3.8,0.027,-0.0952
1952-03,3.3,-0.1316,-0.1316
1952-04,3.0,-0.0909,-0.0625
1952-05,2.9,-0.0333,0.0
1952-06,3.2,0.1034,-0.0588
1952-07,3.3,0.0312,0.0
1952-08,3.1,-0.0606,0.069
1952-09,2.7,-0.129,-0.1
1952-10,2.4,-0.1111,-0.1429
1952-11,2.5,0.0417,-0.2188
1952-12,2.5,0.0,-0.1379
1953-01,3.4,0.36,-0.0811
1953-02,3.2,-0.0588,-0.1579
1953-03,2.9,-0.0938,-0.1212
1953-04,2.8,-0.0345,-0.0667
1953-05,2.5,-0.1071,-0.1379
1953-06,2.7,0.08,-0.1562
1953-07,2.7,0.0,-0.1818
1953-08,2.4,-0.1111,-0.2258
1953-09,2.6,0.0833,-0.037
1953-10,2.5,-0.0385,0.0417
1953-11,3.2,0.28,0.28
1953-12,4.2,0.3125,0.68
1954-01,5.7,0.3571,0.6765
1954-02,6.3,0.1053,0.9687
1954-03,6.4,0.0159,1.2069
1954-04,6.1,-0.0469,1.1786
1954-05,5.7,-0.0656,1.28
1954-06,5.7,0.0,1.1111
1954-07,5.7,0.0,1.1111
1954-08,5.4,-0.0526,1.25
1954-09,5.3,-0.0185,1.0385
1954-10,4.6,-0.1321,0.84
1954-11,4.9,0.0652,0.5312
1954-12,4.8,-0.0204,0.1429
1955-01,5.8,0.2083,0.0175
1955-02,5.7,-0.0172,-0.0952
1955-03,5.2,-0.0877,-0.1875
1955-04,4.9,-0.0577,-0.1967
1955-05,4.2,-0.1429,-0.2632
1955-06,4.4,0.0476,-0.2281
1955-07,4.0,-0.0909,-0.2982
1955-08,3.8,-0.05,-0.2963
1955-09,3.5,-0.0789,-0.3396
1955-10,3.4,-0.0286,-0.2609
1955-11,3.8,0.1176,-0.2245
1955-12,3.9,0.0263,-0.1875
1956-01,4.7,0.2051,-0.1897
1956-02,4.8,0.0213,-0.1579
1956-03,4.7,-0.0208,-0.0962
1956-04,4.1,-0.1277,-0.1633
1956-05,4.2,0.0244,0.0
1956-06,4.7,0.119,0.0682
1956-07,4.4,-0.0638,0.1
1956-08,3.7,-0.1591,-0.0263
1956-09,3.4,-0.0811,-0.0286
1956-10,3.1,-0.0882,-0.0882
1956-11,3.9,0.2581,0.0263
1956-12,4.0,0.0256,0.0256
1957-01,4.9,0.225,0.0426
1957-02,4.7,-0.0408,-0.0208
1957-03,4.3,-0.0851,-0.0851
1957-04,4.0,-0.0698,-0.0244
1957-05,3.9,-0.025,-0.0714
1957-06,4.6,0.1795,-0.0213
1957-07,4.1,-0.1087,-0.0682
1957-08,3.7,-0.0976,0.0
1957-09,3.7,0.0,0.0882
1957-10,3.6,-0.027,0.1613
1957-11,4.6,0.2778,0.1795
1957-12,5.0,0.087,0.25
1958-01,6.8,0.36,0.3878
1958-02,7.7,0.1324,0.6383
1958-03,7.7,0.0,0.7907
1958-04,7.5,-0.026,0.875
1958-05,7.1,-0.0533,0.8205
1958-06,7.6,0.0704,0.6522
1958-07,7.4,-0.0263,0.8049
1958-08,6.7,-0.0946,0.8108
1958-09,6.0,-0.1045,0.6216
1958-10,5.5,-0.0833,0.5278
1958-11,5.6,0.0182,0.2174
1958-12,6.0,0.0714,0.2
1959-01,7.0,0.1667,0.0294
1959-02,7.0,0.0,-0.0909
1959-03,6.4,-0.0857,-0.1688
1959-04,5.2,-0.1875,-0.3067
1959-05,4.9,-0.0577,-0.3099
1959-06,5.4,0.102,-0.2895
1959-07,5.2,-0.037,-0.2973
1959-08,4.8,-0.0769,-0.2836
1959-09,4.7,-0.0208,-0.2167
1959-10,4.7,0.0,-0.1455
1959-11,5.3,0.1277,-0.0536
1959-12,5.1,-0.0377,-0.15
1960-01,6.1,0.1961,-0.1286
1960-02,5.7,-0.0656,-0.1857
1960-03,6.1,0.0702,-0.0469
1960-04,5.2,-0.1475,0.0
1960-05,4.8,-0.0769,-0.0204
1960-06,5.8,0.2083,0.0741
1960-07,5.5,-0.0517,0.0577
1960-08,5.2,-0.0545,0.0833
1960-09,4.7,-0.0962,0.0
1960-10,5.0,0.0638,0.0638
1960-11,5.6,0.12,0.0566
1960-12,6.4,0.1429,0.2549
1961-01,7.7,0.2031,0.2623
1961-02,8.1,0.0519,0.4211
